_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,amenities_count,administrative_division,region,country,longitude,latitude,annual_availability,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,host_id,host_response_rate,host_total_listings_count,superhost,host_neighbourhood
482765,Apartment,Private room,Real Bed,2,8,moderate,2019-03-07,2,1,1,102,1,100.0,100.0,35.0,0,1,25,Brooklyn,New York,United States,-73.97875,40.68834,69,10.0,10.0,10.0,10.0,10.0,10.0,99.0,2389885,100.0,1,True,Fort Greene
48305,Serviced apartment,Entire home/apt,Real Bed,2,89,Strict_14,2019-02-11,13,6,7,39,7,601.25,625.0,197.5,84,7,28,Rio de Janeiro,Rio De Janeiro,Brazil,-43.20256262652219,-22.9863327988552,325,9.0,9.0,9.0,9.0,10.0,8.0,88.0,70933,94.0,8,False,Ipanema
4838721,Apartment,Private room,Real Bed,5,1125,Strict_14,2019-02-11,2,1,1,3,1,250.0,0.0,60.0,0,1,13,Rio de Janeiro,Rio De Janeiro,Brazil,-43.18539442074947,-22.967822306725132,3,9.0,9.0,9.0,10.0,10.0,10.0,93.0,24902764,100.0,1,False,
4840020,Townhouse,Entire home/apt,Real Bed,2,1125,Strict_14,2019-03-06,6,2,2,138,2,198.0,450.0,197.5,20,5,46,Kamuela,Hawaii,United States,-155.85925,19.94608,243,10.0,10.0,10.0,10.0,10.0,10.0,99.0,10942031,100.0,1,True,Island of Hawaiʻi
4840858,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-11,5,3,3,2,1,140.0,200.0,40.0,20,2,14,Montréal,Quebec,Canada,-73.57497,45.46518,0,10.0,8.0,10.0,10.0,9.0,10.0,90.0,1225123,0.0,3,False,Verdun
484267,Apartment,Entire home/apt,Real Bed,1,60,Strict_14,2019-02-11,4,2,2,79,2,578.0,625.0,149.0,0,1,66,Rio de Janeiro,Rio De Janeiro,Brazil,-43.19227750435189,-22.9850441757955,343,10.0,10.0,10.0,10.0,10.0,10.0,98.0,2385085,100.0,1,True,Copacabana
484390,Loft,Entire home/apt,Real Bed,31,365,Strict_14,2019-03-08,2,1,2,87,1,25.0,200.0,40.0,0,1,36,Barcelona,Catalonia,Spain,2.17517,41.40227,99,9.0,9.0,10.0,10.0,10.0,9.0,93.0,2397234,100.0,3,False,La Sagrada Família
4846619,Apartment,Private room,Real Bed,4,1125,flexible,2019-02-18,1,1,1,1,1,53.0,0.0,94.0748,0,1,7,İstanbul,Istanbul,Turkey,28.97492,41.03739,89,10.0,10.0,10.0,10.0,10.0,10.0,100.0,24938237,100.0,1,False,Taksim
4856244,Apartment,Entire home/apt,Real Bed,1,1125,Strict_14,2019-03-06,6,2,4,3,2,249.0,0.0,99.0,0,1,24,Kapaa,Hawaii,United States,-159.32053,22.06449,365,10.0,9.0,10.0,10.0,10.0,8.0,87.0,12057949,91.0,472,False,Central Business District
486337,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-11,3,2,2,1,2,280.0,625.0,150.0,120,1,17,Rio de Janeiro,Rio De Janeiro,Brazil,-43.240687342821936,-22.933982007346295,365,6.0,10.0,10.0,10.0,8.0,8.0,80.0,2393475,67.0,2,False,Tijuca
